inventory_available,sla_days,status,delay_risk
0,2,DELIVERED,HIGH
0,1,ORDER_PLACED,HIGH
0,1,ORDER_PLACED,HIGH
1,1,ORDER_PLACED,LOW
1,1,ORDER_PLACED,LOW
1,7,ORDER_PLACED,LOW
0,3,LENS_CUTTING,HIGH
0,1,DELIVERED,HIGH
0,6,DELIVERED,HIGH
1,7,LENS_CUTTING,MEDIUM
0,2,DELIVERED,HIGH
1,5,LENS_CUTTING,MEDIUM
0,3,LENS_CUTTING,HIGH
1,5,LENS_CUTTING,MEDIUM
0,6,DELIVERED,HIGH
0,6,LENS_CUTTING,HIGH
1,3,DELIVERED,LOW
1,7,LENS_CUTTING,MEDIUM
1,4,DELIVERED,LOW
0,6,LENS_CUTTING,HIGH
0,3,LENS_CUTTING,HIGH
0,4,ORDER_PLACED,HIGH
1,2,ORDER_PLACED,LOW
1,2,LENS_CUTTING,MEDIUM
1,4,ORDER_PLACED,LOW
1,1,LENS_CUTTING,MEDIUM
1,6,LENS_CUTTING,MEDIUM
0,6,LENS_CUTTING,HIGH
0,5,LENS_CUTTING,HIGH
0,4,DELIVERED,HIGH
0,6,LENS_CUTTING,HIGH
1,2,DELIVERED,LOW
1,3,DELIVERED,LOW
0,6,LENS_CUTTING,HIGH
0,4,DELIVERED,HIGH
1,6,LENS_CUTTING,MEDIUM
1,2,DELIVERED,LOW
0,3,ORDER_PLACED,HIGH
1,4,ORDER_PLACED,LOW
1,7,ORDER_PLACED,LOW
0,3,DELIVERED,HIGH
0,3,ORDER_PLACED,HIGH
1,7,DELIVERED,LOW
0,7,ORDER_PLACED,HIGH
0,5,LENS_CUTTING,HIGH
0,1,ORDER_PLACED,HIGH
1,1,DELIVERED,LOW
1,6,LENS_CUTTING,MEDIUM
1,5,DELIVERED,LOW
0,2,ORDER_PLACED,HIGH
1,7,LENS_CUTTING,MEDIUM
0,2,LENS_CUTTING,HIGH
0,6,DELIVERED,HIGH
0,3,LENS_CUTTING,HIGH
0,6,ORDER_PLACED,HIGH
0,5,LENS_CUTTING,HIGH
0,2,LENS_CUTTING,HIGH
0,6,LENS_CUTTING,HIGH
1,1,DELIVERED,LOW
0,4,DELIVERED,HIGH
1,2,DELIVERED,LOW
0,2,DELIVERED,HIGH
0,1,DELIVERED,HIGH
1,3,ORDER_PLACED,LOW
1,4,ORDER_PLACED,LOW
1,4,LENS_CUTTING,MEDIUM
0,7,DELIVERED,HIGH
0,5,DELIVERED,HIGH
1,1,DELIVERED,LOW
0,3,DELIVERED,HIGH
0,4,LENS_CUTTING,HIGH
0,6,LENS_CUTTING,HIGH
0,5,LENS_CUTTING,HIGH
0,3,ORDER_PLACED,HIGH
1,5,LENS_CUTTING,MEDIUM
0,7,ORDER_PLACED,HIGH
1,6,DELIVERED,LOW
1,6,ORDER_PLACED,LOW
1,7,ORDER_PLACED,LOW
0,1,DELIVERED,HIGH
0,7,LENS_CUTTING,HIGH
0,7,LENS_CUTTING,HIGH
0,2,LENS_CUTTING,HIGH
1,7,DELIVERED,LOW
1,6,LENS_CUTTING,MEDIUM
1,1,DELIVERED,LOW
1,2,DELIVERED,LOW
0,4,LENS_CUTTING,HIGH
1,3,DELIVERED,LOW
0,7,DELIVERED,HIGH
0,4,LENS_CUTTING,HIGH
1,5,LENS_CUTTING,MEDIUM
0,4,ORDER_PLACED,HIGH
0,6,ORDER_PLACED,HIGH
0,4,ORDER_PLACED,HIGH
0,2,ORDER_PLACED,HIGH
0,3,ORDER_PLACED,HIGH
1,3,DELIVERED,LOW
0,2,ORDER_PLACED,HIGH
0,3,ORDER_PLACED,HIGH
1,4,DELIVERED,LOW
1,6,DELIVERED,LOW
1,2,ORDER_PLACED,LOW
0,2,ORDER_PLACED,HIGH
0,7,LENS_CUTTING,HIGH
0,3,LENS_CUTTING,HIGH
0,7,DELIVERED,HIGH
1,2,DELIVERED,LOW
0,5,ORDER_PLACED,HIGH
1,4,DELIVERED,LOW
0,6,ORDER_PLACED,HIGH
0,3,DELIVERED,HIGH
0,2,DELIVERED,HIGH
0,2,ORDER_PLACED,HIGH
1,1,LENS_CUTTING,MEDIUM
0,7,DELIVERED,HIGH
1,7,DELIVERED,LOW
1,7,LENS_CUTTING,MEDIUM
1,1,ORDER_PLACED,LOW
1,2,ORDER_PLACED,LOW
1,6,DELIVERED,LOW
0,4,DELIVERED,HIGH
0,4,LENS_CUTTING,HIGH
0,1,LENS_CUTTING,HIGH
1,1,DELIVERED,LOW
1,6,LENS_CUTTING,MEDIUM
0,4,DELIVERED,HIGH
0,4,LENS_CUTTING,HIGH
0,1,ORDER_PLACED,HIGH
1,5,DELIVERED,LOW
1,1,DELIVERED,LOW
1,6,LENS_CUTTING,MEDIUM
1,5,ORDER_PLACED,LOW
0,3,ORDER_PLACED,HIGH
0,3,ORDER_PLACED,HIGH
0,6,ORDER_PLACED,HIGH
1,7,DELIVERED,LOW
0,2,ORDER_PLACED,HIGH
1,7,LENS_CUTTING,MEDIUM
1,2,ORDER_PLACED,LOW
1,5,ORDER_PLACED,LOW
1,4,DELIVERED,LOW
0,6,DELIVERED,HIGH
1,1,LENS_CUTTING,MEDIUM
1,4,ORDER_PLACED,LOW
1,1,ORDER_PLACED,LOW
1,7,ORDER_PLACED,LOW
0,4,ORDER_PLACED,HIGH
1,7,DELIVERED,LOW
0,4,DELIVERED,HIGH
1,3,DELIVERED,LOW
1,4,ORDER_PLACED,LOW
1,3,DELIVERED,LOW
1,5,ORDER_PLACED,LOW
1,1,ORDER_PLACED,LOW
0,6,ORDER_PLACED,HIGH
0,6,ORDER_PLACED,HIGH
0,2,DELIVERED,HIGH
1,2,ORDER_PLACED,LOW
0,3,DELIVERED,HIGH
0,5,LENS_CUTTING,HIGH
1,3,DELIVERED,LOW
1,5,DELIVERED,LOW
1,6,LENS_CUTTING,MEDIUM
1,5,LENS_CUTTING,MEDIUM
1,5,LENS_CUTTING,MEDIUM
0,6,DELIVERED,HIGH
0,5,DELIVERED,HIGH
0,5,LENS_CUTTING,HIGH
1,3,DELIVERED,LOW
1,2,ORDER_PLACED,LOW
0,4,DELIVERED,HIGH
1,3,LENS_CUTTING,MEDIUM
1,6,DELIVERED,LOW
0,4,ORDER_PLACED,HIGH
0,5,LENS_CUTTING,HIGH
0,2,ORDER_PLACED,HIGH
1,2,LENS_CUTTING,MEDIUM
0,7,DELIVERED,HIGH
1,1,LENS_CUTTING,MEDIUM
0,4,DELIVERED,HIGH
0,1,ORDER_PLACED,HIGH
1,5,ORDER_PLACED,LOW
1,5,ORDER_PLACED,LOW
1,1,ORDER_PLACED,LOW
1,2,LENS_CUTTING,MEDIUM
0,1,LENS_CUTTING,HIGH
0,4,LENS_CUTTING,HIGH
0,4,LENS_CUTTING,HIGH
0,4,ORDER_PLACED,HIGH
0,2,DELIVERED,HIGH
0,1,DELIVERED,HIGH
1,4,DELIVERED,LOW
0,6,LENS_CUTTING,HIGH
1,1,ORDER_PLACED,LOW
1,2,LENS_CUTTING,MEDIUM
0,4,ORDER_PLACED,HIGH
0,1,LENS_CUTTING,HIGH
0,6,LENS_CUTTING,HIGH
1,2,LENS_CUTTING,MEDIUM
0,2,DELIVERED,HIGH
0,1,ORDER_PLACED,HIGH
1,4,ORDER_PLACED,LOW
0,7,DELIVERED,HIGH
1,4,LENS_CUTTING,MEDIUM
0,2,LENS_CUTTING,HIGH
1,6,LENS_CUTTING,MEDIUM
1,4,DELIVERED,LOW
1,3,LENS_CUTTING,MEDIUM
1,1,ORDER_PLACED,LOW
0,1,LENS_CUTTING,HIGH
0,2,LENS_CUTTING,HIGH
0,5,DELIVERED,HIGH
1,6,DELIVERED,LOW
1,6,LENS_CUTTING,MEDIUM
1,2,ORDER_PLACED,LOW
0,7,LENS_CUTTING,HIGH
0,4,LENS_CUTTING,HIGH
0,7,DELIVERED,HIGH
0,1,ORDER_PLACED,HIGH
1,1,LENS_CUTTING,MEDIUM
1,1,LENS_CUTTING,MEDIUM
1,1,ORDER_PLACED,LOW
1,5,DELIVERED,LOW
0,6,ORDER_PLACED,HIGH
0,1,LENS_CUTTING,HIGH
0,7,ORDER_PLACED,HIGH
1,2,ORDER_PLACED,LOW
1,5,ORDER_PLACED,LOW
0,1,ORDER_PLACED,HIGH
1,7,DELIVERED,LOW
1,4,LENS_CUTTING,MEDIUM
0,7,LENS_CUTTING,HIGH
0,4,ORDER_PLACED,HIGH
0,2,LENS_CUTTING,HIGH
1,4,LENS_CUTTING,MEDIUM
1,1,ORDER_PLACED,LOW
0,6,LENS_CUTTING,HIGH
1,6,LENS_CUTTING,MEDIUM
1,4,DELIVERED,LOW
1,2,LENS_CUTTING,MEDIUM
1,1,ORDER_PLACED,LOW
0,7,ORDER_PLACED,HIGH
0,2,LENS_CUTTING,HIGH
1,7,LENS_CUTTING,MEDIUM
0,1,LENS_CUTTING,HIGH
0,4,ORDER_PLACED,HIGH
0,6,LENS_CUTTING,HIGH
1,7,ORDER_PLACED,LOW
0,3,DELIVERED,HIGH
0,1,DELIVERED,HIGH
1,3,LENS_CUTTING,MEDIUM
1,5,LENS_CUTTING,MEDIUM
1,1,ORDER_PLACED,LOW
0,6,ORDER_PLACED,HIGH
1,1,ORDER_PLACED,LOW
0,3,ORDER_PLACED,HIGH
1,6,LENS_CUTTING,MEDIUM
1,7,LENS_CUTTING,MEDIUM
1,6,ORDER_PLACED,LOW
0,7,ORDER_PLACED,HIGH
1,3,DELIVERED,LOW
0,6,ORDER_PLACED,HIGH
1,6,LENS_CUTTING,MEDIUM
0,4,ORDER_PLACED,HIGH
1,7,DELIVERED,LOW
1,7,ORDER_PLACED,LOW
1,4,DELIVERED,LOW
1,6,ORDER_PLACED,LOW
0,1,DELIVERED,HIGH
0,1,LENS_CUTTING,HIGH
0,2,LENS_CUTTING,HIGH
1,2,LENS_CUTTING,MEDIUM
1,6,LENS_CUTTING,MEDIUM
0,2,DELIVERED,HIGH
0,7,LENS_CUTTING,HIGH
1,2,DELIVERED,LOW
1,2,ORDER_PLACED,LOW
1,6,LENS_CUTTING,MEDIUM
1,2,ORDER_PLACED,LOW
1,7,ORDER_PLACED,LOW
0,7,LENS_CUTTING,HIGH
0,1,LENS_CUTTING,HIGH
1,4,DELIVERED,LOW
0,7,LENS_CUTTING,HIGH
0,5,ORDER_PLACED,HIGH
1,5,LENS_CUTTING,MEDIUM
0,7,ORDER_PLACED,HIGH
0,4,ORDER_PLACED,HIGH
1,5,LENS_CUTTING,MEDIUM
1,1,DELIVERED,LOW
0,2,DELIVERED,HIGH
1,1,LENS_CUTTING,MEDIUM
0,5,LENS_CUTTING,HIGH
1,6,ORDER_PLACED,LOW
0,2,DELIVERED,HIGH
1,3,DELIVERED,LOW
1,6,ORDER_PLACED,LOW
0,6,LENS_CUTTING,HIGH
1,2,ORDER_PLACED,LOW
0,3,ORDER_PLACED,HIGH
0,5,DELIVERED,HIGH
1,7,DELIVERED,LOW
1,5,DELIVERED,LOW
1,7,DELIVERED,LOW
1,5,DELIVERED,LOW
1,1,ORDER_PLACED,LOW
1,6,DELIVERED,LOW
0,6,DELIVERED,HIGH
0,3,ORDER_PLACED,HIGH
0,6,ORDER_PLACED,HIGH
0,2,ORDER_PLACED,HIGH
1,5,DELIVERED,LOW
0,6,ORDER_PLACED,HIGH
0,1,LENS_CUTTING,HIGH
1,5,ORDER_PLACED,LOW
0,1,LENS_CUTTING,HIGH
1,1,ORDER_PLACED,LOW
0,3,DELIVERED,HIGH
0,6,ORDER_PLACED,HIGH
1,7,ORDER_PLACED,LOW
1,2,ORDER_PLACED,LOW
0,7,ORDER_PLACED,HIGH
1,6,ORDER_PLACED,LOW
1,3,DELIVERED,LOW
0,5,DELIVERED,HIGH
1,7,ORDER_PLACED,LOW
1,5,ORDER_PLACED,LOW
1,5,LENS_CUTTING,MEDIUM
1,4,DELIVERED,LOW
0,7,ORDER_PLACED,HIGH
1,3,ORDER_PLACED,LOW
0,6,DELIVERED,HIGH
1,6,LENS_CUTTING,MEDIUM
1,7,LENS_CUTTING,MEDIUM
1,6,ORDER_PLACED,LOW
1,4,LENS_CUTTING,MEDIUM
1,3,ORDER_PLACED,LOW
1,3,DELIVERED,LOW
1,1,DELIVERED,LOW
